<MODE>, <TIMER_SCORE>, <NAME>, <CURRENT TIME>, <CURRENT_DATE>

Easy, 010, Nigel H, 16:21, 17 10 2023
Easy, 013, Nigel H, 16:21, 17 10 2023
Easy, 013, Nigel H, 16:28, 17 10 2023
Medium, 083, Nigel H, 11:30, 19 10 2023
Easy, 040, Nigel H, 15:49, 19 10 2023
Easy, 020, Nigel H, 15:50, 19 10 2023
Easy, 013, Nigel H, 15:50, 19 10 2023
Medium, 108, Nigel H, 15:53, 19 10 2023
Medium, 089, Nigel H, 15:55, 19 10 2023
Easy, 021, Nigel H, 16:12, 19 10 2023
Easy, 006, Nigel harvey, 17:59, 19 10 2023
Easy, 020, Nigel Harvey, 18:02, 19 10 2023
Easy, 017, Nigel, 18:04, 19 10 2023
Easy, 021, Nigel, 18:07, 19 10 2023
Easy, 015, Nigel Harvey, 18:16, 19 10 2023
Easy, 022, Nigel Harvey, 18:16, 19 10 2023
Easy, 008, Nigel Harvey, 18:17, 19 10 2023
Easy, 016, Eva, 9:38, 20 10 2023
Medium, 662, Alex F, 1:39, 22 10 2023
Medium, 070, Nigel H, 1:49, 22 10 2023
Easy, 114, Not Stu, 14:50, 24 10 2023
Medium, 113, Nigel, 16:43, 25 10 2023
Medium, 068, Nigel, 16:44, 25 10 2023
Easy, 019, Nigel, 16:46, 25 10 2023
Easy, 012, Nigel, 16:47, 25 10 2023
Easy, 013, Nigel, 16:51, 25 10 2023
Easy, 022, Nigel, 16:52, 25 10 2023
Easy, 015, ni, 2:38, 26 10 2023
Easy, 016, ni, 2:48, 26 10 2023
Easy, 015, ni, 3:17, 26 10 2023
Easy, 017, ni, 3:17, 26 10 2023
Easy, 015, ni', 3:28, 26 10 2023
Easy, 024, ni, 3:38, 26 10 2023
